"","time","strain","count","dilution","cfu","frequency","ID","media","group","evo_group"
"61",10,"∆metB",30,5,3e+07,0.681818181818182,"M9_1","M9","a","ancestor"
"62",10,"∆metB",15,5,1.5e+07,0.365853658536585,"M9_2","M9","b","ancestor"
"63",10,"∆metB",19,5,1.9e+07,0.527777777777778,"M9_3","M9","c","ancestor"
"64",10,"∆metB",24,5,2.4e+07,0.631578947368421,"M9_4","M9","d","ancestor"
"65",10,"∆metB",45,5,4.5e+07,0.5625,"M9_5","M9","e","ancestor"
"66",10,"∆metB",40,5,4e+07,0.512820512820513,"M9_6","M9","f","ancestor"
"67",10,"∆metJ",14,5,1.4e+07,0.318181818181818,"M9_1","M9","m","ancestor"
"68",10,"∆metJ",26,5,2.6e+07,0.634146341463415,"M9_2","M9","n","ancestor"
"69",10,"∆metJ",17,5,1.7e+07,0.472222222222222,"M9_3","M9","o","ancestor"
"70",10,"∆metJ",14,5,1.4e+07,0.368421052631579,"M9_4","M9","p","ancestor"
"71",10,"∆metJ",35,5,3.5e+07,0.4375,"M9_5","M9","q","ancestor"
"72",10,"∆metJ",38,5,3.8e+07,0.487179487179487,"M9_6","M9","r","ancestor"
