"","time","r","eco","wrap"
"83",1,0.114735925004484,"∆metB","Selection Rate vs. wild-type"
"84",1,-0.6449855776891,"∆metB","Selection Rate vs. wild-type"
"85",4,-0.0966296972219621,"∆metB","Selection Rate vs. wild-type"
"86",4,-0.0497405361225366,"∆metB","Selection Rate vs. wild-type"
"87",4,-0.261840166896987,"∆metB","Selection Rate vs. wild-type"
"88",4,0.0607738522646515,"∆metB","Selection Rate vs. wild-type"
"89",4,-0.146932512340824,"∆metB","Selection Rate vs. wild-type"
"90",4,0.032426135876458,"∆metB","Selection Rate vs. wild-type"
"91",4,-0.0270226076962606,"∆metB","Selection Rate vs. wild-type"
"92",4,0.0985231457616489,"∆metB","Selection Rate vs. wild-type"
"93",4,-0.186611067624228,"∆metB","Selection Rate vs. wild-type"
"94",4,-0.059645819603238,"∆metB","Selection Rate vs. wild-type"
"95",4,-0.0656002926862629,"∆metB","Selection Rate vs. wild-type"
"96",4,0.119945585161251,"∆metB","Selection Rate vs. wild-type"
"97",7,0.0636542266994618,"∆metB","Selection Rate vs. wild-type"
"98",7,0.126715766707958,"∆metB","Selection Rate vs. wild-type"
"99",7,0.130810499725718,"∆metB","Selection Rate vs. wild-type"
"100",7,0.0426371137265743,"∆metB","Selection Rate vs. wild-type"
"101",7,0.143210733169164,"∆metB","Selection Rate vs. wild-type"
"102",7,-0.113385545659768,"∆metB","Selection Rate vs. wild-type"
"103",7,0.111230655804152,"∆metB","Selection Rate vs. wild-type"
"104",7,-0.0923679410546068,"∆metB","Selection Rate vs. wild-type"
"105",7,0.231620129939712,"∆metB","Selection Rate vs. wild-type"
"106",7,-0.000433407073584376,"∆metB","Selection Rate vs. wild-type"
"107",7,-0.0679845007703588,"∆metB","Selection Rate vs. wild-type"
"108",7,0.00479193637343552,"∆metB","Selection Rate vs. wild-type"
"109",10,0.0916081662561384,"∆metB","Selection Rate vs. wild-type"
"110",10,-0.109167855546151,"∆metB","Selection Rate vs. wild-type"
"111",10,0.208880324484957,"∆metB","Selection Rate vs. wild-type"
"112",10,0.141385747040106,"∆metB","Selection Rate vs. wild-type"
"113",10,-0.0427552590789108,"∆metB","Selection Rate vs. wild-type"
"114",10,0.0155364816917081,"∆metB","Selection Rate vs. wild-type"
"115",10,0.10837536595507,"∆metB","Selection Rate vs. wild-type"
"116",10,0.151257788842143,"∆metB","Selection Rate vs. wild-type"
"117",10,0.170157344674279,"∆metB","Selection Rate vs. wild-type"
"118",10,0.0913352798276589,"∆metB","Selection Rate vs. wild-type"
"119",10,-0.00520938581225749,"∆metB","Selection Rate vs. wild-type"
"120",10,0.128177299480566,"∆metB","Selection Rate vs. wild-type"
