"","time","culture","cfu","eco","count","dilution","pop","popabc","relfreq","cycle","culture_type","r_dep"
"264",86,"MCF2",2e+05,"aux",1,3,3,"c",0.000999001,2,"cf",1.42798516558942
"265",88,"MCF2",2e+09,"op",1,7,1,"a",0.99009901,2,"cf",-0.601986402162968
"266",88,"MCF2",1.4e+09,"op",7,6,2,"b",0.99950025,2,"cf",-0.279807893967711
"267",88,"MCF2",4.6e+08,"op",23,5,3,"c",0.999000999,2,"cf",1.47564025549158
"268",88,"MCF2",2e+06,"aux",1,4,1,"a",0.00990099,2,"cf",0.601986402162968
"269",88,"MCF2",20000,"aux",1,2,2,"b",0.00049975,2,"cf",0.279807893967711
"270",88,"MCF2",8e+05,"aux",4,3,3,"c",0.000999001,2,"cf",-1.47564025549158
"271",90,"MCF2",6e+08,"op",3,6,1,"a",0.996677740863787,2,"cf",-2.4282423071345
"272",90,"MCF2",8e+08,"op",4,6,2,"b",0.999975000624984,2,"cf",-5.64489095682801
"273",90,"MCF2",2.2e+09,"op",11,6,3,"c",0.999909099172802,2,"cf",-4.99939886617023
"274",90,"MCF2",2e+06,"aux",1,4,1,"a",0.00332225913621262,2,"cf",2.4282423071345
"275",90,"MCF2",20000,"aux",1,2,2,"b",2.49993750156246e-05,2,"cf",5.64489095682801
"276",90,"MCF2",2e+05,"aux",1,3,3,"c",9.09008271975275e-05,2,"cf",4.99939886617023
"277",0,"MCF10",1400000,"op",7,3,1,"a",0.7,10,"cf",0.306472514504094
"278",0,"MCF10",2e+05,"op",1,3,2,"b",0.333333333333333,10,"cf",0.270805020110221
"279",0,"MCF10",2e+05,"op",1,3,3,"c",0.333333333333333,10,"cf",0.368887945411394
"280",0,"MCF10",6e+05,"aux",3,3,1,"a",0.3,10,"cf",-0.306472514504094
"281",0,"MCF10",4e+05,"aux",2,3,2,"b",0.666666666666667,10,"cf",-0.270805020110221
"282",0,"MCF10",4e+05,"aux",2,3,3,"c",0.666666666666667,10,"cf",-0.368887945411394
"283",10,"MCF10",1e+09,"op",5,6,1,"a",0.980392156862745,10,"cf",-0.147590651980958
"284",10,"MCF10",6e+08,"op",3,6,2,"b",0.88235294117647,10,"cf",0.00219789067187753
"285",10,"MCF10",4e+08,"op",2,6,3,"c",0.952380952380952,10,"cf",-0.0470003629245736
"286",10,"MCF10",2e+07,"aux",1,5,1,"a",0.0196078431372549,10,"cf",0.147590651980958
"287",10,"MCF10",8e+07,"aux",4,5,2,"b",0.117647058823529,10,"cf",-0.00219789067187753
"288",10,"MCF10",2e+07,"aux",1,5,3,"c",0.0476190476190476,10,"cf",0.0470003629245736
"289",20,"MCF10",1.6e+08,"op",8,5,1,"a",0.919540229885057,10,"cf",-0.133750419695046
"290",20,"MCF10",4.6e+08,"op",23,5,2,"b",0.884615384615385,10,"cf",-0.24423470353692
"291",20,"MCF10",1e+08,"op",5,5,3,"c",0.925925925925926,10,"cf",-0.223804657185647
"292",20,"MCF10",1.4e+07,"aux",7,4,1,"a",0.0804597701149425,10,"cf",0.133750419695046
"293",20,"MCF10",6e+07,"aux",3,5,2,"b",0.115384615384615,10,"cf",0.24423470353692
"294",20,"MCF10",8e+06,"aux",4,4,3,"c",0.0740740740740741,10,"cf",0.223804657185647
"295",30,"MCF10",1.8e+08,"op",9,5,1,"a",0.75,10,"cf",-0.270805020110221
"296",30,"MCF10",4e+07,"op",2,5,2,"b",0.4,10,"cf",0.109861228866811
"297",30,"MCF10",8e+07,"op",4,5,3,"c",0.571428571428571,10,"cf",-0.0644357016390514
"298",30,"MCF10",6e+07,"aux",3,5,1,"a",0.25,10,"cf",0.270805020110221
"299",30,"MCF10",6e+07,"aux",3,5,2,"b",0.6,10,"cf",-0.109861228866811
"300",30,"MCF10",6e+07,"aux",3,5,3,"c",0.428571428571429,10,"cf",0.0644357016390514
"301",40,"MCF10",4e+07,"op",2,5,1,"a",0.166666666666667,10,"cf",0.24567357728213
"302",40,"MCF10",8e+07,"op",4,5,2,"b",0.666666666666667,10,"cf",0.022314355131421
"303",40,"MCF10",2.8e+07,"op",14,4,3,"c",0.411764705882353,10,"cf",0.104982212449868
"304",40,"MCF10",2e+08,"aux",1,6,1,"a",0.833333333333333,10,"cf",-0.24567357728213
"305",40,"MCF10",4e+07,"aux",2,5,2,"b",0.333333333333333,10,"cf",-0.022314355131421
"306",40,"MCF10",4e+07,"aux",2,5,3,"c",0.588235294117647,10,"cf",-0.104982212449868
"307",50,"MCF10",1.4e+08,"op",7,5,1,"a",0.7,10,"cf",-0.214658084451746
"308",50,"MCF10",2e+07,"op",1,5,2,"b",0.714285714285714,10,"cf",-0.252572864430826
"309",50,"MCF10",4e+07,"op",2,5,3,"c",0.666666666666667,10,"cf",-0.104982212449868
"310",50,"MCF10",6e+07,"aux",3,5,1,"a",0.3,10,"cf",0.214658084451746
"311",50,"MCF10",8e+06,"aux",4,4,2,"b",0.285714285714286,10,"cf",0.252572864430826
"312",50,"MCF10",2e+07,"aux",1,5,3,"c",0.333333333333333,10,"cf",0.104982212449868
"313",60,"MCF10",6e+06,"op",3,4,1,"a",0.214285714285714,10,"cf",0.199243016469021
"314",60,"MCF10",4e+06,"op",2,4,2,"b",0.166666666666667,10,"cf",0.0405465108108164
"315",60,"MCF10",1.4e+07,"op",7,4,3,"c",0.411764705882353,10,"cf",-0.0559615787935423
"316",60,"MCF10",2.2e+07,"aux",11,4,1,"a",0.785714285714286,10,"cf",-0.199243016469021
"317",60,"MCF10",2e+07,"aux",1,5,2,"b",0.833333333333333,10,"cf",-0.0405465108108164
"318",60,"MCF10",2e+07,"aux",1,5,3,"c",0.588235294117647,10,"cf",0.0559615787935423
"319",70,"MCF10",4e+07,"op",2,5,1,"a",0.666666666666667,10,"cf",0.32188758248682
"320",70,"MCF10",6e+06,"op",3,4,2,"b",0.230769230769231,10,"cf",0.189711998488588
"321",70,"MCF10",8e+06,"op",4,4,3,"c",0.285714285714286,10,"cf",-0.138629436111989
"322",70,"MCF10",2e+07,"aux",1,5,1,"a",0.333333333333333,10,"cf",-0.32188758248682
"323",70,"MCF10",2e+07,"aux",1,5,2,"b",0.769230769230769,10,"cf",-0.189711998488588
"324",70,"MCF10",2e+07,"aux",1,5,3,"c",0.714285714285714,10,"cf",0.138629436111989
"325",80,"MCF10",2e+08,"op",1,6,1,"a",0.980392156862745,10,"cf",-0.0916290731874155
"326",80,"MCF10",4e+08,"op",2,6,2,"b",0.666666666666667,10,"cf",0.16094379124341
"327",80,"MCF10",2e+07,"op",1,5,3,"c",0.0909090909090909,10,"cf",0.368887945411394
"328",80,"MCF10",4e+06,"aux",2,4,1,"a",0.0196078431372549,10,"cf",0.0916290731874155
"329",80,"MCF10",2e+08,"aux",1,6,2,"b",0.333333333333333,10,"cf",-0.16094379124341
"330",80,"MCF10",2e+08,"aux",1,6,3,"c",0.909090909090909,10,"cf",-0.368887945411394
"331",90,"MCF10",8e+07,"op",4,5,1,"a",0.952380952380952,10,"cf",0.0916290731874155
"332",90,"MCF10",8e+07,"op",4,5,2,"b",0.909090909090909,10,"cf",-0.299573227355399
"333",90,"MCF10",4e+07,"op",2,5,3,"c",0.8,10,"cf",-0.0693147180559945
"334",90,"MCF10",4e+06,"aux",2,4,1,"a",0.0476190476190476,10,"cf",-0.0916290731874155
"335",90,"MCF10",8e+06,"aux",4,4,2,"b",0.0909090909090909,10,"cf",0.299573227355399
"336",90,"MCF10",1e+07,"aux",5,4,3,"c",0.2,10,"cf",0.0693147180559945
