"","time","strain","percent","eco_by_vessel","time_gap","condition","facet"
"136",10,"Overproducer ∆metJ",-0.8125,"tube_met_j","7-10","met","Co-Culture"
"137",10,"Overproducer ∆metJ",-0.838709677419355,"tube_met_j","7-10","met","Co-Culture"
"138",10,"Overproducer ∆metJ",-0.933333333333333,"tube_met_j","7-10","met","Co-Culture"
"139",10,"Overproducer ∆metJ",-0.666666666666667,"tube_met_j","7-10","met","Co-Culture"
"140",10,"Overproducer ∆metJ",-0.857142857142857,"tube_met_j","7-10","met","Co-Culture"
"141",10,"Overproducer ∆metJ",-1,"tube_met_j","7-10","met","Co-Culture"
"142",10,"Overproducer ∆metJ",-0.875,"tube_met_j","7-10","met","Co-Culture"
"143",10,"Overproducer ∆metJ",-1,"tube_met_j","7-10","met","Co-Culture"
"144",10,"Overproducer ∆metJ",-0.727272727272727,"tube_met_j","7-10","met","Co-Culture"
"145",1,"Auxotroph ∆metB",1.68456375838926,"tube_b","0-1","no_met","Co-Culture"
"146",1,"Auxotroph ∆metB",0.418439716312057,"tube_b","0-1","no_met","Co-Culture"
"147",1,"Auxotroph ∆metB",2.20512820512821,"tube_b","0-1","no_met","Co-Culture"
"148",1,"Auxotroph ∆metB",0.492537313432836,"tube_b","0-1","no_met","Co-Culture"
"149",1,"Auxotroph ∆metB",-0.425287356321839,"tube_b","0-1","no_met","Co-Culture"
"150",1,"Auxotroph ∆metB",0.675977653631285,"tube_b","0-1","no_met","Co-Culture"
"151",1,"Auxotroph ∆metB",1.85714285714286,"tube_b","0-1","no_met","Co-Culture"
"152",1,"Auxotroph ∆metB",-0.27007299270073,"tube_b","0-1","no_met","Co-Culture"
"153",1,"Auxotroph ∆metB",1.63157894736842,"tube_b","0-1","no_met","Co-Culture"
"154",1,"Overproducer ∆metJ",54.1020408163265,"tube_j","0-1","no_met","Co-Culture"
"155",1,"Overproducer ∆metJ",66.6258992805755,"tube_j","0-1","no_met","Co-Culture"
"156",1,"Overproducer ∆metJ",90.9117647058823,"tube_j","0-1","no_met","Co-Culture"
"157",1,"Overproducer ∆metJ",87.961038961039,"tube_j","0-1","no_met","Co-Culture"
"158",1,"Overproducer ∆metJ",77.8732394366197,"tube_j","0-1","no_met","Co-Culture"
"159",1,"Overproducer ∆metJ",77.1609195402299,"tube_j","0-1","no_met","Co-Culture"
"160",1,"Overproducer ∆metJ",93.392523364486,"tube_j","0-1","no_met","Co-Culture"
"161",1,"Overproducer ∆metJ",127.846153846154,"tube_j","0-1","no_met","Co-Culture"
"162",1,"Overproducer ∆metJ",88.5833333333333,"tube_j","0-1","no_met","Co-Culture"
"163",1,"Auxotroph ∆metB",59.6796116504854,"tube_b","0-1","met","Co-Culture"
"164",1,"Auxotroph ∆metB",42.5483870967742,"tube_b","0-1","met","Co-Culture"
"165",1,"Auxotroph ∆metB",51.4229074889868,"tube_b","0-1","met","Co-Culture"
"166",1,"Auxotroph ∆metB",51.073732718894,"tube_b","0-1","met","Co-Culture"
"167",1,"Auxotroph ∆metB",55.043956043956,"tube_b","0-1","met","Co-Culture"
"168",1,"Auxotroph ∆metB",64.9685863874346,"tube_b","0-1","met","Co-Culture"
"169",1,"Auxotroph ∆metB",48.0566037735849,"tube_b","0-1","met","Co-Culture"
"170",1,"Auxotroph ∆metB",51.1072796934866,"tube_b","0-1","met","Co-Culture"
"171",1,"Auxotroph ∆metB",47.5714285714286,"tube_b","0-1","met","Co-Culture"
"172",1,"Overproducer ∆metJ",14.1351351351351,"tube_j","0-1","met","Co-Culture"
"173",1,"Overproducer ∆metJ",8.04522613065327,"tube_j","0-1","met","Co-Culture"
"174",1,"Overproducer ∆metJ",10.1111111111111,"tube_j","0-1","met","Co-Culture"
"175",1,"Overproducer ∆metJ",10.2994350282486,"tube_j","0-1","met","Co-Culture"
"176",1,"Overproducer ∆metJ",18.2660550458716,"tube_j","0-1","met","Co-Culture"
"177",1,"Overproducer ∆metJ",15.7832167832168,"tube_j","0-1","met","Co-Culture"
"178",1,"Overproducer ∆metJ",12.2911392405063,"tube_j","0-1","met","Co-Culture"
"179",1,"Overproducer ∆metJ",17.0645161290323,"tube_j","0-1","met","Co-Culture"
"180",1,"Overproducer ∆metJ",19.5405405405405,"tube_j","0-1","met","Co-Culture"
