"","Time","sample","value","strain","replicate","media","background"
"1014",225,"B6",0.45739513,"wild-type (unsupplemented)","3","Met (-)","wt"
"1015",225,"B7",0.58039513,"auxotroph ∆metB","1","Met (+)","mutant"
"1016",225,"B8",0.39339513,"auxotroph ∆metB","2","Met (+)","mutant"
"1017",225,"B9",0.50239513,"auxotroph ∆metB","3","Met (+)","mutant"
"1018",225,"B10",0.43739513,"wild-type (supplemented)","1","Met (+)","wt"
"1019",225,"B11",0.40639513,"wild-type (supplemented)","2","Met (+)","wt"
"1020",225,"B12",0.46439513,"wild-type (supplemented)","3","Met (+)","wt"
"1021",225,"C1",0.37439513,"overproducer ∆metJ","1","Met (-)","mutant"
"1022",225,"C2",0.32839513,"overproducer ∆metJ","2","Met (-)","mutant"
"1023",225,"C3",0.34639513,"overproducer ∆metJ","3","Met (-)","mutant"
"1024",225,"C4",0.44739513,"wild-type (unsupplemented)","1","Met (-)","wt"
"1025",225,"C5",0.34839513,"wild-type (unsupplemented)","2","Met (-)","wt"
"1026",225,"C6",0.49139513,"wild-type (unsupplemented)","3","Met (-)","wt"
"1027",225,"C7",0.63139513,"auxotroph ∆metB","1","Met (+)","mutant"
"1028",225,"C8",0.40439513,"auxotroph ∆metB","2","Met (+)","mutant"
"1029",225,"C9",0.61539513,"auxotroph ∆metB","3","Met (+)","mutant"
"1030",225,"C10",0.47039513,"wild-type (supplemented)","1","Met (+)","wt"
"1031",225,"C11",0.42039513,"wild-type (supplemented)","2","Met (+)","wt"
"1032",225,"C12",0.39939513,"wild-type (supplemented)","3","Met (+)","wt"
"1033",225,"D1",0.36139513,"overproducer ∆metJ","1","Met (-)","mutant"
"1034",225,"D2",0.34439513,"overproducer ∆metJ","2","Met (-)","mutant"
"1035",225,"D3",0.32939513,"overproducer ∆metJ","3","Met (-)","mutant"
"1036",225,"D4",0.44239513,"wild-type (unsupplemented)","1","Met (-)","wt"
"1037",225,"D5",0.29739513,"wild-type (unsupplemented)","2","Met (-)","wt"
"1038",225,"D6",0.43939513,"wild-type (unsupplemented)","3","Met (-)","wt"
"1039",225,"D7",0.58839513,"auxotroph ∆metB","1","Met (+)","mutant"
"1040",225,"D8",0.31639513,"auxotroph ∆metB","2","Met (+)","mutant"
"1041",225,"D9",0.57539513,"auxotroph ∆metB","3","Met (+)","mutant"
"1042",225,"D10",0.42639513,"wild-type (supplemented)","1","Met (+)","wt"
"1043",225,"D11",0.38439513,"wild-type (supplemented)","2","Met (+)","wt"
"1044",225,"D12",0.45139513,"wild-type (supplemented)","3","Met (+)","wt"
"1045",225,"E1",0.37439513,"overproducer ∆metJ","1","Met (-)","mutant"
"1046",225,"E2",0.30639513,"overproducer ∆metJ","2","Met (-)","mutant"
"1047",225,"E3",0.35339513,"overproducer ∆metJ","3","Met (-)","mutant"
"1048",225,"E4",0.39939513,"wild-type (unsupplemented)","1","Met (-)","wt"
"1049",225,"E5",0.38439513,"wild-type (unsupplemented)","2","Met (-)","wt"
"1050",225,"E6",0.38739513,"wild-type (unsupplemented)","3","Met (-)","wt"
"1051",225,"E7",0.49639513,"auxotroph ∆metB","1","Met (+)","mutant"
"1052",225,"E8",0.34139513,"auxotroph ∆metB","2","Met (+)","mutant"
"1053",225,"E9",0.55239513,"auxotroph ∆metB","3","Met (+)","mutant"
"1054",225,"E10",0.37739513,"wild-type (supplemented)","1","Met (+)","wt"
"1055",225,"E11",0.33139513,"wild-type (supplemented)","2","Met (+)","wt"
"1056",225,"E12",0.43939513,"wild-type (supplemented)","3","Met (+)","wt"
"1057",225,"F1",0.37239513,"overproducer ∆metJ","1","Met (-)","mutant"
"1058",225,"F2",0.32939513,"overproducer ∆metJ","2","Met (-)","mutant"
"1059",225,"F3",0.32639513,"overproducer ∆metJ","3","Met (-)","mutant"
"1060",225,"F4",0.40139513,"wild-type (unsupplemented)","1","Met (-)","wt"
"1061",225,"F5",0.22639513,"wild-type (unsupplemented)","2","Met (-)","wt"
"1062",225,"F6",0.36139513,"wild-type (unsupplemented)","3","Met (-)","wt"
"1063",225,"F7",0.51539513,"auxotroph ∆metB","1","Met (+)","mutant"
"1064",225,"F8",0.27139513,"auxotroph ∆metB","2","Met (+)","mutant"
"1065",225,"F9",0.54139513,"auxotroph ∆metB","3","Met (+)","mutant"
"1066",225,"F10",0.44239513,"wild-type (supplemented)","1","Met (+)","wt"
"1067",225,"F11",0.31439513,"wild-type (supplemented)","2","Met (+)","wt"
"1068",225,"F12",0.42439513,"wild-type (supplemented)","3","Met (+)","wt"
"1069",225,"G1",0.43539513,"overproducer ∆metJ","1","Met (-)","mutant"
"1070",225,"G2",0.32739513,"overproducer ∆metJ","2","Met (-)","mutant"
"1071",225,"G3",0.34439513,"overproducer ∆metJ","3","Met (-)","mutant"
"1072",225,"G4",0.39039513,"wild-type (unsupplemented)","1","Met (-)","wt"
"1073",225,"G5",0.33339513,"wild-type (unsupplemented)","2","Met (-)","wt"
"1074",225,"G6",0.38739513,"wild-type (unsupplemented)","3","Met (-)","wt"
"1075",225,"G7",0.56639513,"auxotroph ∆metB","1","Met (+)","mutant"
"1076",225,"G8",0.29239513,"auxotroph ∆metB","2","Met (+)","mutant"
"1077",225,"G9",0.54739513,"auxotroph ∆metB","3","Met (+)","mutant"
"1078",225,"G10",0.39239513,"wild-type (supplemented)","1","Met (+)","wt"
"1079",225,"G11",0.33039513,"wild-type (supplemented)","2","Met (+)","wt"
"1080",225,"G12",0.42339513,"wild-type (supplemented)","3","Met (+)","wt"
"1081",240,"B1",0.55239513,"overproducer ∆metJ","1","Met (-)","mutant"
"1082",240,"B2",0.38339513,"overproducer ∆metJ","2","Met (-)","mutant"
"1083",240,"B3",0.35339513,"overproducer ∆metJ","3","Met (-)","mutant"
"1084",240,"B4",0.53039513,"wild-type (unsupplemented)","1","Met (-)","wt"
"1085",240,"B5",0.47239513,"wild-type (unsupplemented)","2","Met (-)","wt"
"1086",240,"B6",0.47539513,"wild-type (unsupplemented)","3","Met (-)","wt"
"1087",240,"B7",0.63639513,"auxotroph ∆metB","1","Met (+)","mutant"
"1088",240,"B8",0.49539513,"auxotroph ∆metB","2","Met (+)","mutant"
"1089",240,"B9",0.60739513,"auxotroph ∆metB","3","Met (+)","mutant"
"1090",240,"B10",0.47039513,"wild-type (supplemented)","1","Met (+)","wt"
"1091",240,"B11",0.38239513,"wild-type (supplemented)","2","Met (+)","wt"
"1092",240,"B12",0.50939513,"wild-type (supplemented)","3","Met (+)","wt"
"1093",240,"C1",0.39639513,"overproducer ∆metJ","1","Met (-)","mutant"
"1094",240,"C2",0.39139513,"overproducer ∆metJ","2","Met (-)","mutant"
"1095",240,"C3",0.37239513,"overproducer ∆metJ","3","Met (-)","mutant"
"1096",240,"C4",0.47539513,"wild-type (unsupplemented)","1","Met (-)","wt"
"1097",240,"C5",0.38939513,"wild-type (unsupplemented)","2","Met (-)","wt"
"1098",240,"C6",0.52739513,"wild-type (unsupplemented)","3","Met (-)","wt"
"1099",240,"C7",0.66839513,"auxotroph ∆metB","1","Met (+)","mutant"
"1100",240,"C8",0.45839513,"auxotroph ∆metB","2","Met (+)","mutant"
"1101",240,"C9",0.64839513,"auxotroph ∆metB","3","Met (+)","mutant"
"1102",240,"C10",0.48439513,"wild-type (supplemented)","1","Met (+)","wt"
"1103",240,"C11",0.40339513,"wild-type (supplemented)","2","Met (+)","wt"
"1104",240,"C12",0.41839513,"wild-type (supplemented)","3","Met (+)","wt"
"1105",240,"D1",0.38239513,"overproducer ∆metJ","1","Met (-)","mutant"
"1106",240,"D2",0.45039513,"overproducer ∆metJ","2","Met (-)","mutant"
"1107",240,"D3",0.34939513,"overproducer ∆metJ","3","Met (-)","mutant"
"1108",240,"D4",0.46539513,"wild-type (unsupplemented)","1","Met (-)","wt"
"1109",240,"D5",0.34139513,"wild-type (unsupplemented)","2","Met (-)","wt"
"1110",240,"D6",0.44839513,"wild-type (unsupplemented)","3","Met (-)","wt"
"1111",240,"D7",0.63539513,"auxotroph ∆metB","1","Met (+)","mutant"
"1112",240,"D8",0.33139513,"auxotroph ∆metB","2","Met (+)","mutant"
"1113",240,"D9",0.61539513,"auxotroph ∆metB","3","Met (+)","mutant"
"1114",240,"D10",0.43339513,"wild-type (supplemented)","1","Met (+)","wt"
"1115",240,"D11",0.33339513,"wild-type (supplemented)","2","Met (+)","wt"
"1116",240,"D12",0.47239513,"wild-type (supplemented)","3","Met (+)","wt"
"1117",240,"E1",0.41139513,"overproducer ∆metJ","1","Met (-)","mutant"
"1118",240,"E2",0.39239513,"overproducer ∆metJ","2","Met (-)","mutant"
"1119",240,"E3",0.38439513,"overproducer ∆metJ","3","Met (-)","mutant"
"1120",240,"E4",0.42239513,"wild-type (unsupplemented)","1","Met (-)","wt"
"1121",240,"E5",0.41539513,"wild-type (unsupplemented)","2","Met (-)","wt"
"1122",240,"E6",0.41939513,"wild-type (unsupplemented)","3","Met (-)","wt"
"1123",240,"E7",0.52939513,"auxotroph ∆metB","1","Met (+)","mutant"
"1124",240,"E8",0.37239513,"auxotroph ∆metB","2","Met (+)","mutant"
"1125",240,"E9",0.58039513,"auxotroph ∆metB","3","Met (+)","mutant"
"1126",240,"E10",0.40039513,"wild-type (supplemented)","1","Met (+)","wt"
"1127",240,"E11",0.33639513,"wild-type (supplemented)","2","Met (+)","wt"
"1128",240,"E12",0.49839513,"wild-type (supplemented)","3","Met (+)","wt"
"1129",240,"F1",0.44539513,"overproducer ∆metJ","1","Met (-)","mutant"
"1130",240,"F2",0.40439513,"overproducer ∆metJ","2","Met (-)","mutant"
"1131",240,"F3",0.34839513,"overproducer ∆metJ","3","Met (-)","mutant"
"1132",240,"F4",0.42339513,"wild-type (unsupplemented)","1","Met (-)","wt"
"1133",240,"F5",0.25739513,"wild-type (unsupplemented)","2","Met (-)","wt"
"1134",240,"F6",0.38039513,"wild-type (unsupplemented)","3","Met (-)","wt"
"1135",240,"F7",0.53739513,"auxotroph ∆metB","1","Met (+)","mutant"
"1136",240,"F8",0.29139513,"auxotroph ∆metB","2","Met (+)","mutant"
"1137",240,"F9",0.57839513,"auxotroph ∆metB","3","Met (+)","mutant"
"1138",240,"F10",0.42539513,"wild-type (supplemented)","1","Met (+)","wt"
"1139",240,"F11",0.32139513,"wild-type (supplemented)","2","Met (+)","wt"
"1140",240,"F12",0.48439513,"wild-type (supplemented)","3","Met (+)","wt"
"1141",240,"G1",0.51339513,"overproducer ∆metJ","1","Met (-)","mutant"
"1142",240,"G2",0.41339513,"overproducer ∆metJ","2","Met (-)","mutant"
"1143",240,"G3",0.36939513,"overproducer ∆metJ","3","Met (-)","mutant"
"1144",240,"G4",0.39439513,"wild-type (unsupplemented)","1","Met (-)","wt"
"1145",240,"G5",0.34339513,"wild-type (unsupplemented)","2","Met (-)","wt"
"1146",240,"G6",0.40039513,"wild-type (unsupplemented)","3","Met (-)","wt"
"1147",240,"G7",0.58339513,"auxotroph ∆metB","1","Met (+)","mutant"
"1148",240,"G8",0.31339513,"auxotroph ∆metB","2","Met (+)","mutant"
"1149",240,"G9",0.55339513,"auxotroph ∆metB","3","Met (+)","mutant"
"1150",240,"G10",0.41339513,"wild-type (supplemented)","1","Met (+)","wt"
"1151",240,"G11",0.27739513,"wild-type (supplemented)","2","Met (+)","wt"
"1152",240,"G12",0.50339513,"wild-type (supplemented)","3","Met (+)","wt"
"1153",255,"B1",0.57639513,"overproducer ∆metJ","1","Met (-)","mutant"
"1154",255,"B2",0.40539513,"overproducer ∆metJ","2","Met (-)","mutant"
"1155",255,"B3",0.37539513,"overproducer ∆metJ","3","Met (-)","mutant"
"1156",255,"B4",0.54239513,"wild-type (unsupplemented)","1","Met (-)","wt"
"1157",255,"B5",0.49239513,"wild-type (unsupplemented)","2","Met (-)","wt"
"1158",255,"B6",0.48939513,"wild-type (unsupplemented)","3","Met (-)","wt"
"1159",255,"B7",0.66039513,"auxotroph ∆metB","1","Met (+)","mutant"
"1160",255,"B8",0.53639513,"auxotroph ∆metB","2","Met (+)","mutant"
"1161",255,"B9",0.63539513,"auxotroph ∆metB","3","Met (+)","mutant"
"1162",255,"B10",0.49239513,"wild-type (supplemented)","1","Met (+)","wt"
"1163",255,"B11",0.39139513,"wild-type (supplemented)","2","Met (+)","wt"
"1164",255,"B12",0.53139513,"wild-type (supplemented)","3","Met (+)","wt"
"1165",255,"C1",0.42239513,"overproducer ∆metJ","1","Met (-)","mutant"
"1166",255,"C2",0.41339513,"overproducer ∆metJ","2","Met (-)","mutant"
"1167",255,"C3",0.39139513,"overproducer ∆metJ","3","Met (-)","mutant"
"1168",255,"C4",0.49439513,"wild-type (unsupplemented)","1","Met (-)","wt"
"1169",255,"C5",0.40939513,"wild-type (unsupplemented)","2","Met (-)","wt"
"1170",255,"C6",0.56739513,"wild-type (unsupplemented)","3","Met (-)","wt"
"1171",255,"C7",0.68839513,"auxotroph ∆metB","1","Met (+)","mutant"
"1172",255,"C8",0.51039513,"auxotroph ∆metB","2","Met (+)","mutant"
"1173",255,"C9",0.67239513,"auxotroph ∆metB","3","Met (+)","mutant"
"1174",255,"C10",0.50139513,"wild-type (supplemented)","1","Met (+)","wt"
"1175",255,"C11",0.40639513,"wild-type (supplemented)","2","Met (+)","wt"
"1176",255,"C12",0.46339513,"wild-type (supplemented)","3","Met (+)","wt"
"1177",255,"D1",0.41139513,"overproducer ∆metJ","1","Met (-)","mutant"
"1178",255,"D2",0.46139513,"overproducer ∆metJ","2","Met (-)","mutant"
"1179",255,"D3",0.38439513,"overproducer ∆metJ","3","Met (-)","mutant"
"1180",255,"D4",0.47739513,"wild-type (unsupplemented)","1","Met (-)","wt"
"1181",255,"D5",0.36039513,"wild-type (unsupplemented)","2","Met (-)","wt"
"1182",255,"D6",0.46139513,"wild-type (unsupplemented)","3","Met (-)","wt"
"1183",255,"D7",0.64139513,"auxotroph ∆metB","1","Met (+)","mutant"
"1184",255,"D8",0.39439513,"auxotroph ∆metB","2","Met (+)","mutant"
"1185",255,"D9",0.64939513,"auxotroph ∆metB","3","Met (+)","mutant"
"1186",255,"D10",0.45639513,"wild-type (supplemented)","1","Met (+)","wt"
"1187",255,"D11",0.35839513,"wild-type (supplemented)","2","Met (+)","wt"
"1188",255,"D12",0.49439513,"wild-type (supplemented)","3","Met (+)","wt"
"1189",255,"E1",0.42139513,"overproducer ∆metJ","1","Met (-)","mutant"
"1190",255,"E2",0.40239513,"overproducer ∆metJ","2","Met (-)","mutant"
"1191",255,"E3",0.41139513,"overproducer ∆metJ","3","Met (-)","mutant"
"1192",255,"E4",0.43639513,"wild-type (unsupplemented)","1","Met (-)","wt"
"1193",255,"E5",0.43539513,"wild-type (unsupplemented)","2","Met (-)","wt"
"1194",255,"E6",0.43239513,"wild-type (unsupplemented)","3","Met (-)","wt"
"1195",255,"E7",0.55739513,"auxotroph ∆metB","1","Met (+)","mutant"
"1196",255,"E8",0.44439513,"auxotroph ∆metB","2","Met (+)","mutant"
"1197",255,"E9",0.62439513,"auxotroph ∆metB","3","Met (+)","mutant"
"1198",255,"E10",0.41939513,"wild-type (supplemented)","1","Met (+)","wt"
"1199",255,"E11",0.33539513,"wild-type (supplemented)","2","Met (+)","wt"
"1200",255,"E12",0.51439513,"wild-type (supplemented)","3","Met (+)","wt"
"1201",255,"F1",0.46839513,"overproducer ∆metJ","1","Met (-)","mutant"
"1202",255,"F2",0.40139513,"overproducer ∆metJ","2","Met (-)","mutant"
"1203",255,"F3",0.38639513,"overproducer ∆metJ","3","Met (-)","mutant"
"1204",255,"F4",0.43839513,"wild-type (unsupplemented)","1","Met (-)","wt"
"1205",255,"F5",0.28739513,"wild-type (unsupplemented)","2","Met (-)","wt"
"1206",255,"F6",0.38539513,"wild-type (unsupplemented)","3","Met (-)","wt"
"1207",255,"F7",0.58039513,"auxotroph ∆metB","1","Met (+)","mutant"
"1208",255,"F8",0.32939513,"auxotroph ∆metB","2","Met (+)","mutant"
"1209",255,"F9",0.62039513,"auxotroph ∆metB","3","Met (+)","mutant"
"1210",255,"F10",0.45339513,"wild-type (supplemented)","1","Met (+)","wt"
"1211",255,"F11",0.33139513,"wild-type (supplemented)","2","Met (+)","wt"
"1212",255,"F12",0.51539513,"wild-type (supplemented)","3","Met (+)","wt"
"1213",255,"G1",0.55239513,"overproducer ∆metJ","1","Met (-)","mutant"
"1214",255,"G2",0.41239513,"overproducer ∆metJ","2","Met (-)","mutant"
"1215",255,"G3",0.39539513,"overproducer ∆metJ","3","Met (-)","mutant"
"1216",255,"G4",0.40539513,"wild-type (unsupplemented)","1","Met (-)","wt"
"1217",255,"G5",0.34539513,"wild-type (unsupplemented)","2","Met (-)","wt"
"1218",255,"G6",0.41539513,"wild-type (unsupplemented)","3","Met (-)","wt"
"1219",255,"G7",0.64239513,"auxotroph ∆metB","1","Met (+)","mutant"
"1220",255,"G8",0.34239513,"auxotroph ∆metB","2","Met (+)","mutant"
"1221",255,"G9",0.61939513,"auxotroph ∆metB","3","Met (+)","mutant"
"1222",255,"G10",0.43139513,"wild-type (supplemented)","1","Met (+)","wt"
"1223",255,"G11",0.31239513,"wild-type (supplemented)","2","Met (+)","wt"
"1224",255,"G12",0.51939513,"wild-type (supplemented)","3","Met (+)","wt"
"1225",270,"B1",0.58339513,"overproducer ∆metJ","1","Met (-)","mutant"
"1226",270,"B2",0.40339513,"overproducer ∆metJ","2","Met (-)","mutant"
"1227",270,"B3",0.40039513,"overproducer ∆metJ","3","Met (-)","mutant"
"1228",270,"B4",0.54939513,"wild-type (unsupplemented)","1","Met (-)","wt"
"1229",270,"B5",0.49739513,"wild-type (unsupplemented)","2","Met (-)","wt"
"1230",270,"B6",0.50239513,"wild-type (unsupplemented)","3","Met (-)","wt"
"1231",270,"B7",0.68739513,"auxotroph ∆metB","1","Met (+)","mutant"
"1232",270,"B8",0.63139513,"auxotroph ∆metB","2","Met (+)","mutant"
"1233",270,"B9",0.68439513,"auxotroph ∆metB","3","Met (+)","mutant"
"1234",270,"B10",0.52839513,"wild-type (supplemented)","1","Met (+)","wt"
"1235",270,"B11",0.41039513,"wild-type (supplemented)","2","Met (+)","wt"
"1236",270,"B12",0.59139513,"wild-type (supplemented)","3","Met (+)","wt"
"1237",270,"C1",0.44339513,"overproducer ∆metJ","1","Met (-)","mutant"
"1238",270,"C2",0.43539513,"overproducer ∆metJ","2","Met (-)","mutant"
"1239",270,"C3",0.42339513,"overproducer ∆metJ","3","Met (-)","mutant"
"1240",270,"C4",0.51539513,"wild-type (unsupplemented)","1","Met (-)","wt"
"1241",270,"C5",0.42839513,"wild-type (unsupplemented)","2","Met (-)","wt"
"1242",270,"C6",0.58739513,"wild-type (unsupplemented)","3","Met (-)","wt"
"1243",270,"C7",0.70339513,"auxotroph ∆metB","1","Met (+)","mutant"
"1244",270,"C8",0.58839513,"auxotroph ∆metB","2","Met (+)","mutant"
"1245",270,"C9",0.69339513,"auxotroph ∆metB","3","Met (+)","mutant"
"1246",270,"C10",0.52439513,"wild-type (supplemented)","1","Met (+)","wt"
"1247",270,"C11",0.42139513,"wild-type (supplemented)","2","Met (+)","wt"
"1248",270,"C12",0.55039513,"wild-type (supplemented)","3","Met (+)","wt"
"1249",270,"D1",0.43039513,"overproducer ∆metJ","1","Met (-)","mutant"
"1250",270,"D2",0.48739513,"overproducer ∆metJ","2","Met (-)","mutant"
"1251",270,"D3",0.40539513,"overproducer ∆metJ","3","Met (-)","mutant"
"1252",270,"D4",0.48539513,"wild-type (unsupplemented)","1","Met (-)","wt"
"1253",270,"D5",0.36939513,"wild-type (unsupplemented)","2","Met (-)","wt"
"1254",270,"D6",0.47339513,"wild-type (unsupplemented)","3","Met (-)","wt"
"1255",270,"D7",0.69539513,"auxotroph ∆metB","1","Met (+)","mutant"
"1256",270,"D8",0.45539513,"auxotroph ∆metB","2","Met (+)","mutant"
"1257",270,"D9",0.67139513,"auxotroph ∆metB","3","Met (+)","mutant"
"1258",270,"D10",0.48539513,"wild-type (supplemented)","1","Met (+)","wt"
"1259",270,"D11",0.37239513,"wild-type (supplemented)","2","Met (+)","wt"
"1260",270,"D12",0.59339513,"wild-type (supplemented)","3","Met (+)","wt"
"1261",270,"E1",0.43239513,"overproducer ∆metJ","1","Met (-)","mutant"
"1262",270,"E2",0.40739513,"overproducer ∆metJ","2","Met (-)","mutant"
"1263",270,"E3",0.44539513,"overproducer ∆metJ","3","Met (-)","mutant"
"1264",270,"E4",0.45939513,"wild-type (unsupplemented)","1","Met (-)","wt"
"1265",270,"E5",0.44139513,"wild-type (unsupplemented)","2","Met (-)","wt"
"1266",270,"E6",0.45739513,"wild-type (unsupplemented)","3","Met (-)","wt"
"1267",270,"E7",0.65139513,"auxotroph ∆metB","1","Met (+)","mutant"
"1268",270,"E8",0.49139513,"auxotroph ∆metB","2","Met (+)","mutant"
"1269",270,"E9",0.62939513,"auxotroph ∆metB","3","Met (+)","mutant"
"1270",270,"E10",0.43439513,"wild-type (supplemented)","1","Met (+)","wt"
"1271",270,"E11",0.37439513,"wild-type (supplemented)","2","Met (+)","wt"
"1272",270,"E12",0.48439513,"wild-type (supplemented)","3","Met (+)","wt"
"1273",270,"F1",0.48439513,"overproducer ∆metJ","1","Met (-)","mutant"
"1274",270,"F2",0.42239513,"overproducer ∆metJ","2","Met (-)","mutant"
"1275",270,"F3",0.40939513,"overproducer ∆metJ","3","Met (-)","mutant"
"1276",270,"F4",0.45039513,"wild-type (unsupplemented)","1","Met (-)","wt"
"1277",270,"F5",0.30439513,"wild-type (unsupplemented)","2","Met (-)","wt"
"1278",270,"F6",0.40539513,"wild-type (unsupplemented)","3","Met (-)","wt"
"1279",270,"F7",0.66239513,"auxotroph ∆metB","1","Met (+)","mutant"
"1280",270,"F8",0.40039513,"auxotroph ∆metB","2","Met (+)","mutant"
"1281",270,"F9",0.64439513,"auxotroph ∆metB","3","Met (+)","mutant"
"1282",270,"F10",0.46239513,"wild-type (supplemented)","1","Met (+)","wt"
"1283",270,"F11",0.38439513,"wild-type (supplemented)","2","Met (+)","wt"
"1284",270,"F12",0.58839513,"wild-type (supplemented)","3","Met (+)","wt"
"1285",270,"G1",0.59139513,"overproducer ∆metJ","1","Met (-)","mutant"
"1286",270,"G2",0.42839513,"overproducer ∆metJ","2","Met (-)","mutant"
"1287",270,"G3",0.43239513,"overproducer ∆metJ","3","Met (-)","mutant"
"1288",270,"G4",0.41439513,"wild-type (unsupplemented)","1","Met (-)","wt"
"1289",270,"G5",0.34639513,"wild-type (unsupplemented)","2","Met (-)","wt"
"1290",270,"G6",0.41839513,"wild-type (unsupplemented)","3","Met (-)","wt"
"1291",270,"G7",0.66039513,"auxotroph ∆metB","1","Met (+)","mutant"
"1292",270,"G8",0.41839513,"auxotroph ∆metB","2","Met (+)","mutant"
"1293",270,"G9",0.64939513,"auxotroph ∆metB","3","Met (+)","mutant"
"1294",270,"G10",0.44939513,"wild-type (supplemented)","1","Met (+)","wt"
"1295",270,"G11",0.38039513,"wild-type (supplemented)","2","Met (+)","wt"
"1296",270,"G12",0.60739513,"wild-type (supplemented)","3","Met (+)","wt"
"1297",285,"B1",0.57539513,"overproducer ∆metJ","1","Met (-)","mutant"
"1298",285,"B2",0.41439513,"overproducer ∆metJ","2","Met (-)","mutant"
"1299",285,"B3",0.44939513,"overproducer ∆metJ","3","Met (-)","mutant"
"1300",285,"B4",0.56139513,"wild-type (unsupplemented)","1","Met (-)","wt"
"1301",285,"B5",0.51939513,"wild-type (unsupplemented)","2","Met (-)","wt"
"1302",285,"B6",0.51739513,"wild-type (unsupplemented)","3","Met (-)","wt"
"1303",285,"B7",0.69439513,"auxotroph ∆metB","1","Met (+)","mutant"
"1304",285,"B8",0.65039513,"auxotroph ∆metB","2","Met (+)","mutant"
"1305",285,"B9",0.69739513,"auxotroph ∆metB","3","Met (+)","mutant"
"1306",285,"B10",0.57139513,"wild-type (supplemented)","1","Met (+)","wt"
"1307",285,"B11",0.44139513,"wild-type (supplemented)","2","Met (+)","wt"
"1308",285,"B12",0.61739513,"wild-type (supplemented)","3","Met (+)","wt"
"1309",285,"C1",0.48739513,"overproducer ∆metJ","1","Met (-)","mutant"
"1310",285,"C2",0.45039513,"overproducer ∆metJ","2","Met (-)","mutant"
"1311",285,"C3",0.45339513,"overproducer ∆metJ","3","Met (-)","mutant"
"1312",285,"C4",0.52839513,"wild-type (unsupplemented)","1","Met (-)","wt"
"1313",285,"C5",0.43239513,"wild-type (unsupplemented)","2","Met (-)","wt"
"1314",285,"C6",0.59739513,"wild-type (unsupplemented)","3","Met (-)","wt"
"1315",285,"C7",0.69939513,"auxotroph ∆metB","1","Met (+)","mutant"
"1316",285,"C8",0.60039513,"auxotroph ∆metB","2","Met (+)","mutant"
"1317",285,"C9",0.69639513,"auxotroph ∆metB","3","Met (+)","mutant"
"1318",285,"C10",0.56139513,"wild-type (supplemented)","1","Met (+)","wt"
"1319",285,"C11",0.42939513,"wild-type (supplemented)","2","Met (+)","wt"
"1320",285,"C12",0.60939513,"wild-type (supplemented)","3","Met (+)","wt"
"1321",285,"D1",0.44239513,"overproducer ∆metJ","1","Met (-)","mutant"
"1322",285,"D2",0.49339513,"overproducer ∆metJ","2","Met (-)","mutant"
"1323",285,"D3",0.42239513,"overproducer ∆metJ","3","Met (-)","mutant"
"1324",285,"D4",0.48639513,"wild-type (unsupplemented)","1","Met (-)","wt"
"1325",285,"D5",0.39139513,"wild-type (unsupplemented)","2","Met (-)","wt"
"1326",285,"D6",0.48539513,"wild-type (unsupplemented)","3","Met (-)","wt"
"1327",285,"D7",0.69439513,"auxotroph ∆metB","1","Met (+)","mutant"
"1328",285,"D8",0.48039513,"auxotroph ∆metB","2","Met (+)","mutant"
"1329",285,"D9",0.68139513,"auxotroph ∆metB","3","Met (+)","mutant"
"1330",285,"D10",0.51539513,"wild-type (supplemented)","1","Met (+)","wt"
"1331",285,"D11",0.42039513,"wild-type (supplemented)","2","Met (+)","wt"
"1332",285,"D12",0.67039513,"wild-type (supplemented)","3","Met (+)","wt"
"1333",285,"E1",0.44939513,"overproducer ∆metJ","1","Met (-)","mutant"
"1334",285,"E2",0.42139513,"overproducer ∆metJ","2","Met (-)","mutant"
"1335",285,"E3",0.47039513,"overproducer ∆metJ","3","Met (-)","mutant"
"1336",285,"E4",0.46739513,"wild-type (unsupplemented)","1","Met (-)","wt"
"1337",285,"E5",0.44239513,"wild-type (unsupplemented)","2","Met (-)","wt"
"1338",285,"E6",0.47139513,"wild-type (unsupplemented)","3","Met (-)","wt"
"1339",285,"E7",0.67439513,"auxotroph ∆metB","1","Met (+)","mutant"
"1340",285,"E8",0.50139513,"auxotroph ∆metB","2","Met (+)","mutant"
"1341",285,"E9",0.64639513,"auxotroph ∆metB","3","Met (+)","mutant"
"1342",285,"E10",0.46539513,"wild-type (supplemented)","1","Met (+)","wt"
"1343",285,"E11",0.41239513,"wild-type (supplemented)","2","Met (+)","wt"
"1344",285,"E12",0.52839513,"wild-type (supplemented)","3","Met (+)","wt"
"1345",285,"F1",0.47839513,"overproducer ∆metJ","1","Met (-)","mutant"
"1346",285,"F2",0.42739513,"overproducer ∆metJ","2","Met (-)","mutant"
"1347",285,"F3",0.42839513,"overproducer ∆metJ","3","Met (-)","mutant"
"1348",285,"F4",0.45339513,"wild-type (unsupplemented)","1","Met (-)","wt"
"1349",285,"F5",0.31139513,"wild-type (unsupplemented)","2","Met (-)","wt"
"1350",285,"F6",0.41339513,"wild-type (unsupplemented)","3","Met (-)","wt"
"1351",285,"F7",0.68139513,"auxotroph ∆metB","1","Met (+)","mutant"
"1352",285,"F8",0.41939513,"auxotroph ∆metB","2","Met (+)","mutant"
"1353",285,"F9",0.65839513,"auxotroph ∆metB","3","Met (+)","mutant"
